Ean,Myyntihinta,Kuntoluokitus,Nimi,Alkuperäinen nimi,Vuosi,Ohjaaja,Näyttelijöitä,Formaatti,Levyjä,Julkaisualue,Julkaisu,Tekstitys,Puhuttu kieli,Muuta,Vuokrajulkaisu,Slipcover,Kaksipuolinen levy,Skannattu,Kotelo,Toimitusluokka
6420614609354,2.5,"8, 9",Panssarikenraali Patton,,1970,Franklin J. Schaffner,"George C. Scott, Karl Malden",DVD,2,Suomi,Twentieth Century Fox,suomi; ruotsi; jne,,"vihkonen mukana, 2. levylautasen sarana rikki",,,,,,A
6438044331264,6,9,"Pappi, lukkari, talonpoika, vakooja",Tinker Tailor Soldier Spy,2011,Tomas Alfredson,"Gary Oldman, Colin Firth, Tom Hardy, John Hurt, Toby Jones, Mark Strong, Benedict Cumberbatch ja Ciarán Hinds",Blu-ray,1,Suomi,,suomi; ruotsi; jne,,,,,,,,A
6420614618653,1.5,8,Platoon - nuoret sotilaat,Platoon,1986,Oliver Stone,"Tom Berenger, Willem Dafoe ja Charlie Sheen",DVD,1,Suomi,MGM,suomi; ruotsi; jne,,"Special Edition, vihkonen mukana",,,,,,A
6415018618866,,,Pojat,,1962,Mikko Niskanen,Vesa-Matti Loiri,DVD,1,Suomi,,suomi; ruotsi,,,,,,,,A
6416548802411,3.5,7,Raivoisa ajojahti,Southern Comfort,1981,Walter Hill,"Keith Carradine, Powers Boothe, Fred Ward, T. K. Carter, Franklyn Seales, Peter Coyote",DVD,1,,Futurefilm,suomi; ruotsi; jne,,,,,,,,A
5706550022688,2.8,8,Rambo - First Blood,First Blood,1982,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy ",DVD,1,Suomi,Sandrew Metronome,suomi; ruotsi; jne,,,,,,,,A
5708758680448,6,9,Reservoir Dogs,,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth, Chris Penn, Steve Buscemi, Lawrence Tierney, Michael Madsen, Tarantino,  Edward Bunker",Blu-ray,1,Pohjoismaat,Nordisk Film,suomi; ruotsi; jne,,,,,,,,A
7350036724795,3.5,10,Revolten,White God / Fehér isten,2014,Kornél Mundruczó,"Zsófia Psotta, Sándor Zsótér, Lili Horvát",DVD,1,Ruotsi,Studio S,suomi; ruotsi; jne,,muoveissa,,,,,,A
6420614627556,3.5,9,Rocky,,1976,John G. Avildsen,Sylvester Stallone,DVD,1,Suomi,MGM,suomi; ruotsi; jne,,Special Edition,,,,,,A
6416548802213,3,9,Rooman valtakunnan tuho,The Fall of the Roman Empire,1964,Anthony Mann,Sophia Loren,DVD,1,Suomi,Futurefilm,suomi,,,,,,,,A
6438044036053,2.5,9,Sademies,Rain Man,1988,Barry Levinson,"Dustin Hoffman, Tom Cruise ja Valeria Golino",DVD,1,Suomi,MGM,suomi; ruotsi; jne,,,,,,,,A
6438044124453,5,"8, 8",Sademies / Thelma & Louise,,,,,DVD,2,Suomi,MGM,suomi; ruotsi; jne,,,,,,,,A
5051160112916,3,8,Sähköputkimies,The Cable Guy,1996,Ben Stiller,Jim Carrey and Matthew Broderick,DVD,1,Suomi,Sony Pictures,suomi; ruotsi; jne,,,,,,,,A
5706132344788,1,6,Sairasta sakkia,Very Bad Things,1998,Peter Berg,"Cameron Diaz, Jon Favreau, Daniel Stern, Jeremy Piven, Christian Slater, Leland Orser, Kobe Tai and Jeanne Tripplehorn",DVD,1,Suomi,Scanbox,suomi; ruotsi; jne,,,,,,,,A
6420614656457,1.8,9,Saksikäsi Edward,Edward Scissorhands,1990,Tim Burton,"Johnny Depp, Dianne Wiest, Winona Ryder, Vincent Price",DVD,1,Suomi,Twentieth Century Fox,suomi; ruotsi; jne,,,,,,,,A
